Name,State,2015_RPP
Fairbanks,AK,106.4
Anchorage,AK,109.4
Auburn-Opelika,AL,84.7
Daphne-Fairhope-Foley,AL,91.2
Florence-Muscle Shoals,AL,83.8
Anniston-Oxford-Jacksonville,AL,84.1
Montgomery,AL,89.3
Gadsden,AL,84.5
Birmingham-Hoover,AL,89.2
Dothan,AL,84.9
Huntsville,AL,89.9
Tuscaloosa,AL,88.1
Mobile,AL,88.0
Decatur,AL,86.5
Columbus,AL,89.4
Texarkana,AR,86.6
Memphis,AR,91.5
Pine Bluff,AR,83.5
Jonesboro,AR,81.9
Fayetteville-Springdale-Rogers,AR,89.8
Hot Springs,AR,85.2
Fort Smith,AR,85.4
Little Rock-North Little Rock-Conway,AR,90.9
Prescott,AZ,95.2
Lake Havasu City-Kingman,AZ,93.0
Tucson,AZ,97.0
Phoenix-Mesa-Scottsdale,AZ,97.2
Flagstaff,AZ,98.6
Sierra Vista-Douglas,AZ,89.7
Yuma,AZ,92.9
San Francisco-Oakland-Hayward,CA,121.9
San Diego-Carlsbad,CA,116.6
Oxnard-Thousand Oaks-Ventura,CA,116.1
Napa,CA,120.1
Riverside-San Bernardino-Ontario,CA,106.7
San Luis Obispo-Paso Robles-Arroyo Grande,CA,107.3
San Jose-Sunnyvale-Santa Clara,CA,124.1
Vallejo-Fairfield,CA,115.9
Los Angeles-Long Beach-Anaheim,CA,117.6
Santa Rosa,CA,118.5
Santa Cruz-Watsonville,CA,122.0
Hanford-Corcoran,CA,92.7
Bakersfield,CA,97.9
Modesto,CA,98.7
El Centro,CA,89.6
Santa Maria-Santa Barbara,CA,109.4
Salinas,CA,108.5
Yuba City,CA,98.7
Madera,CA,96.2
Sacramento--Roseville--Arden-Arcade,CA,102.6
Merced,CA,95.0
Chico,CA,99.7
Stockton-Lodi,CA,100.4
Redding,CA,98.1
Visalia-Porterville,CA,95.4
Fresno,CA,97.2
Boulder,CO,110.1
Greeley,CO,99.7
Denver-Aurora-Lakewood,CO,106.0
Grand Junction,CO,94.4
Pueblo,CO,92.1
Fort Collins,CO,102.2
Colorado Springs,CO,100.2
New Haven-Milford,CT,112.1
Hartford-West Hartford-East Hartford,CT,100.8
Worcester,CT,103.5
Norwich-New London,CT,100.3
Worcester,CT,103.5
Bridgeport-Stamford-Norwalk,CT,120.1
Washington-Arlington-Alexandria,DC,119.1
Philadelphia-Camden-Wilmington,DE,106.3
Dover,DE,94.2
Salisbury,DE,90.2
Crestview-Fort Walton Beach-Destin,FL,95.1
Lakeland-Winter Haven,FL,92.9
Punta Gorda,FL,94.6
Tampa-St. Petersburg-Clearwater,FL,100.7
Palm Bay-Melbourne-Titusville,FL,95.3
Panama City,FL,94.2
Miami-Fort Lauderdale-West Palm Beach,FL,106.8
Deltona-Daytona Beach-Ormond Beach,FL,95.5
Cape Coral-Fort Myers,FL,95.4
Gainesville,FL,94.6
Tallahassee,FL,93.3
Pensacola-Ferry Pass-Brent,FL,93.0
Port St. Lucie,FL,95.8
Ocala,FL,90.2
The Villages,FL,91.7
North Port-Sarasota-Bradenton,FL,98.8
Jacksonville,FL,95.8
